美业门店小红书开场钩子原则（适用：美甲/精油推背/纹眉/面部轻医美）：
开场不要介绍项目，要先戳痛点或勾起好奇心

| 结构公式 | 通用模板 | 美甲例子 | 精油推背例子 | 纹眉例子 | 水光针例子 |
| --- | --- | --- | --- | --- | --- |
| **反向筛选+稀缺感** | 如果你不想解决[问题]，这篇就当没看到 | 如果你不想再被朋友问"你指甲怎么总起泡"，这篇就当没看到。 | 如果你不想解决肩颈酸痛失眠的问题，这篇就当没看到。 | 如果你不想再每天早起半小时画眉，这篇就当没看到。 | 如果你不想在换季时继续干皮脱皮，这篇就当没看到。 |
| **共鸣+定向归属** | 如果你也有[问题]，这篇就是为你写的 | 如果你也是咬甲星人，觉得自己做不了美甲，这篇就是为你写的。 | 如果你也是久坐族，背部总是又硬又酸，这篇就是为你写的。 | 如果你也画眉画了好几年还是画不好，这篇就是为你写的。 | 如果你也是暗沉、毛孔大、护肤品用了一堆没效果，这篇就是为你写的。 |
| **个人故事式** | 我被[问题]困扰了[时间]，直到[转折] | 我的指甲咬了快二十年，直到美甲师告诉我其实有专门的甲型适合我。 | 熬了三年的夜班，肩膀硬得像块木板，直到做了第一次精油推背。 | 画眉画了8年从没成功过，直到我选择了纹眉。 | 护肤品堆了一柜子，皮肤还是又干又哑，直到第一次打水光针。 |
| **反认知** | 你知道为什么[常见问题]越做越糟糕吗？ | 你知道为什么你的美甲总是3天就翘边吗？ | 你知道为什么越贴膏药，颈椎反而越难受吗？ | 你知道为什么很多人纹了眉反而变丑了吗？ | 你知道为什么护肤品用了一大堆皮肤还是缺水吗？ |
| **见证叙事式** | 我刚见证了[顾客]的[变化] | 上周有个顾客说她从来不做美甲，做完那天发了朋友圈，收到了30个点赞。 | 一个做了3次精油推背的顾客告诉我，她已经两周没吃安眠药了。 | 昨天顾客发消息说，纹完眉出门被婆婆夸年轻了五岁。 | 顾客打完水光针第5天发来对比照，皮肤真的亮了不止一个色号。 |
| **困境提问式** | [问题场景]有多崩溃？ | 手指短、指甲宽，每次看到别人的美甲都羡慕有多崩溃？ | 下班肩膀酸到抬不起手，躺下来又睡不着，这种感觉懂的人懂。 | 眉毛稀疏、左右不对称，出门素颜心里没底有多崩溃？ | 早上起来皮肤干到像纸一样，补水霜抹了又抹还是没用，懂的举手。 |
| **秘密泄露式** | 这个[方法/信息]我一直没分享，今天偷偷说 | 做美甲10年，这个挑甲色的方法我一直没公开讲过，今天悄悄告诉你。 | 精油推背最有效的手法，美容学校不会教，今天偷偷说给你听。 | 纹眉师从不主动说的那些事，今天全说了。 | 打水光针之前你一定要知道的5件事，今天全部告诉你。 |
| **掏心建议式** | 给所有[人群]一个掏心建议 | 给所有觉得自己手不好看、不适合做美甲的女生一个掏心建议。 | 给所有把身体疲劳当成常态的打工人一个掏心建议。 | 给所有靠画眉每天多花半小时的女生一个掏心建议。 | 给所有在护肤品上花了很多钱但皮肤还是不好的女生一个掏心建议。 |
| **反常识发现式** | 我发现[常见误区]其实是错的 | 我发现很多女生以为指甲短就不能做美甲，其实完全搞反了。 | 我发现很多人觉得精油推背是中老年人才做的，其实25岁才是最需要的年纪。 | 我发现很多人以为纹眉会很疼，其实全程敷麻膏基本感觉不到。 | 我发现很多人以为水光针只能在医院做，其实正规美业机构同样安全有效。 |
| **直接劝告式** | 听我说，如果你有[问题]，就一定要试试[方法] | 听我说，如果你总是咬指甲，你就一定要做一次美甲试试，真的有用。 | 听我说，如果你已经肩颈疼超过3个月了，你就一定要试一次精油推背。 | 听我说，如果你画眉超过5年还是左右不对称，你就应该考虑纹眉了。 | 听我说，如果你皮肤暗沉毛孔粗大，你应该先试水光针，再谈护肤品。 |
| **对比+行动承诺** | 如果你认真做完[行动]，你的[结果]会超过大部分同龄人 | 如果你能做完这套系统的美甲护理，你的指甲状态会超过身边90%的女生。 | 如果你能坚持每月一次精油推背，你的睡眠和身体状态会超过大部分同龄人。 | 如果你选对纹眉师，你的素颜颜值会超过大部分每天画眉的女生。 | 如果你坚持每季度打一次水光针，你的皮肤状态会超过大部分同龄人。 |
| **价值稀缺式** | 今天给你[专业人士]都不会主动说的[信息] | 今天给你连美甲师都不会主动提醒你的甲型选择方法。 | 今天给你连按摩师傅都不会主动说的推背穴位秘诀。 | 今天给你连纹眉师都不会主动告诉你的眉形设计逻辑。 | 今天给你连美容院BA都不说的水光针真实效果评估方法。 |
